w2,l,z1,L,ngdl,nel,eta,R,file
787672.4497,5,0.6,14.999,3000,729,1.412539483,9.304639634,SiCube_l5_0_0_600_L_14_999.json
438776.4017,5,0.6,20.436,3000,729,1.436425109,12.6774862,SiCube_l5_0_0_600_L_20_436.json
283854.2693,5,0.6,25.884,3000,729,1.463337727,16.05715663,SiCube_l5_0_0_600_L_25_884.json
1891419.968,5,0.6,9.566,3000,729,1.396014163,5.934274467,SiCube_l5_0_0_600_L_9_566.json
908171.0852,5,0.7,14.999,3000,729,1.516741617,9.304639634,SiCube_l5_0_0_700_L_14_999.json
500122.5913,5,0.7,20.436,3000,729,1.533555837,12.6774862,SiCube_l5_0_0_700_L_20_436.json
319551.4076,5,0.7,25.884,3000,729,1.552627312,16.05715663,SiCube_l5_0_0_700_L_25_884.json
2198874.883,5,0.7,9.566,3000,729,1.505206547,5.934274467,SiCube_l5_0_0_700_L_9_566.json
1028634.773,5,0.8,14.999,3000,729,1.614203813,9.304639634,SiCube_l5_0_0_800_L_14_999.json
561407.6572,5,0.8,20.436,3000,729,1.624802291,12.6774862,SiCube_l5_0_0_800_L_20_436.json
355172.9476,5,0.8,25.884,3000,729,1.636879817,16.05715663,SiCube_l5_0_0_800_L_25_884.json
2506320.36,5,0.8,9.566,3000,729,1.606993538,5.934274467,SiCube_l5_0_0_800_L_9_566.json
1149074.944,5,0.9,14.999,3000,729,1.706090032,9.304639634,SiCube_l5_0_0_900_L_14_999.json
622651.1569,5,0.9,20.436,3000,729,1.711132959,12.6774862,SiCube_l5_0_0_900_L_20_436.json
390742.3602,5,0.9,25.884,3000,729,1.71688854,16.05715663,SiCube_l5_0_0_900_L_25_884.json
2813759.527,5,0.9,9.566,3000,729,1.702704676,5.934274467,SiCube_l5_0_0_900_L_9_566.json
1269498.537,5,1,14.999,3000,729,1.793262515,9.304639634,SiCube_l5_0_1_000_L_14_999.json
683865.1089,5,1,20.436,3000,729,1.793273704,12.6774862,SiCube_l5_0_1_000_L_20_436.json
426274.3121,5,1,25.884,3000,729,1.79325246,16.05715663,SiCube_l5_0_1_000_L_25_884.json
3121194.268,5,1,9.566,3000,729,1.793313591,5.934274467,SiCube_l5_0_1_000_L_9_566.json
116427.1068,1.5,0,20.436,10125,2744,0.739926207,12.6774862,SiCube_l1_500_0_000_L_20_436_nx_14.json
3540.801133,1.5,0,20.436,14739,4096,0.129036366,12.6774862,SiCube_l1_500_0_000_L_20_436_nx_16.json
167334.575,1.5,0,25.884,10125,2744,1.123542996,16.05715663,SiCube_l1_500_0_000_L_25_884_nx_14.json
